Hypothesis,Description,Direction,Citations
[@thm-demandmoreconstituents] More Constituents,Legislators who represent *more constituents* will be associated with higher levels of interbranch representation.,↑,"@Johannes1984, @Oppenheimer1996 (Contra)"
[@thm-demandmoredemanding] More Demanding Constituents,Legislators who represent *more demanding* constituents will be associated with higher levels of interbranch representation.,↑,"@Johannes1984 (Pro-Casework, Contra-Survey data), @Yiannakis1981"
[@thm-demandgreaterneed] Greater Need Constituents,"Legislators who represent constituents with greater needs do more interbranch representation for individuals, nonprofits, and local governments.",↑,"@Johannes1983, @Johannes1984 @verbasb1995,"
[@thm-demanddisempowered] Disempowered Constituents,Legislators who represent lower socio-economic status constituents do less interbranch representation on behalf of individuals.,↓,"@Yiannakis1981, @verbasb1995; @Verba1972"
