Hypothesis,Political Environment,Description,Direction,Citations
[@thm-strategic-election]: Prioritizing Re-election when Electorally Vulnerable,Electorally vulnerable,Legislators worried about reelection (from more vulnerable districts) will be associated with higher amounts of interbranch representation.,↑*,@Mayhew1974; @Dodd1977; @CainFerejohnFiorina1987; @Fiorina1977; @Fenno1973; @SerraCover1992; @DroppPeskowitz2012; @Ritchie2023 (Mixed)
[@thm-strategic-majority]: Prioritizing Interbranch Representation when in Chamber Minority,Majority party member,Legislators from the minority party will be associated with higher amounts of interbranch representation.,↓,@Ritchie2023
[@thm-strategic-presidentmore]: Take advantage of cooperative executive,Co-partisan President,Legislators from the President's party will be associated with higher amounts of interbranch representation.,↑,@BerryBurdenHowell2010
[@thm-strategic-presidentless]: Oppose president’s agency work,Co-partisan President,Legislators not from the President's party will be associated with higher amounts of interbranch representation.,↓,@Ritchie2023
[@thm-strategic-corporate]: Advocate for corporate donors,NA,"Members who receive more corporate PAC contributions, are more likely to engage in interbranch corporate advocacy.",↑ Corporate Interbranch (Constituent Service and Policy),@PowellGrimmer2015; @PowellJudgeLordGrimmer2023
[@thm-strategic-republican]: Republicans Advocate for Business,NA,Republicans advocate more for corporate interests,↑ Corporate Interbranch (Constituent Service and Policy),NA
[@thm-strategic-supportagency]: Support Agency Objectives,NA,"Members who are more supportive of an agency’s objectives (are ideologically proximate to the agency), are more likely to work with that agency.",↑ All forms of interbranch with ideologically proximate agencies,@Carpenter2001
[@thm-strategic-opposeagency]:Oppose Agency Objectives,NA,"Members who are opposed to an agency’s objectives (are ideologically distant to the agency), are more likely to work with that agency.",↑All forms of interbranch with ideologically distant agencies,@McCubbinsSchwartz1984
[@thm-strategic-staff]: Staff Allocation,NA,"The more staff an office allocates to a given type of work, the more of that work it produces.",↑ That type of interbranch representation,"@Johannes1984, @Fiorina1977"
