Hypothesis,Description,Direction,Citations
[@thm-capacitylegexperience]: Legislator Experience,Legislators with more experience will be associated with higher amounts of interbranch representation.,↑,"@JudgeLordPowellGrimmer2026, @Ritchie2018, @Lowande2018APSR, @Ritchie2023, @PorterTreul2026"
[@thm-capacityinstitutionalposition]: Institutional Position,"Institutional positions (chair, ranking member, and party leadership) come with both power and resources that expand capacity to provide interbranch representation.",↑,"@JudgeLordPowellGrimmer2026, @Lowande2018APSR, @LowandePotter2021, @LauterbachRitchie2025, @Ritchie2023"
[@thm-capacityreporting]: Reporting Committee Assignment,Legislators who sit on the reporting committee for the agency will be associated with higher amounts of interbranch representation with that agency.,↑,"@Johannes1979, @Minta2011"
[@thm-capacitystaff]: Staff,"Greater quantity of staff, quality of staff, and budget devoted to staff expand capacity.",↑,"@Olson1966, @Fiorina1977, @JudgeLordPowellGrimmer2026, @Cottle2022, Ommundsen2025, @Cottle2022; @Ommundsen2025;, @Cottle2022; @Ommundsen2025, @MontgomeryNyhan2017, @CrossonEtAl2020, @Reynolds2020"
